Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,cluster
58,YouTube,@Thi-Nguyen,https://www.youtube.com/watch?v=4R19-gsUoio,The “venting in exercises” KILLED ME! 🤣🤣🤣🤣🤣🤣🤣,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",venting exercises killed,5
59,YouTube,@Dragon_kitt165_drawings.,https://www.youtube.com/watch?v=4R19-gsUoio,foxes bark even if they are not raised by dogs,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",foxes bark even raised dogs,7
60,YouTube,@Ako_n-s7b,https://www.youtube.com/watch?v=4R19-gsUoio,Thf last one guy is Akito,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",thf last one guy akito,8
61,YouTube,@stranger342,https://www.youtube.com/watch?v=4R19-gsUoio,I feel good. Dunananana,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",feel good dunananana,4
62,YouTube,@kenopsiadraws,https://www.youtube.com/watch?v=4R19-gsUoio,I’ve never heard what a fox says before,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",never heard fox says,2
63,YouTube,@andressaassuncao6710,https://www.youtube.com/watch?v=4R19-gsUoio,"Amo cachorros, sério ❤😅",,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",amo cachorros sério,5
64,YouTube,@tl3140,https://www.youtube.com/watch?v=4R19-gsUoio,Dogs aren&#39;t idiots.<br>Humans like the owner of the Channel are!,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",dogs 39 idiots br humans like owner channel,3
65,YouTube,@Kupfer-Henny,https://www.youtube.com/watch?v=4R19-gsUoio,I FEEL GOOD,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",feel good,4
66,YouTube,@IamTheInfamous0DYSS3US,https://www.youtube.com/watch?v=4R19-gsUoio,did the devil raise you? rRAAAAAA.    why does the husky sound like me singing?,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",devil raise rraaaaaa husky sound like singing,7
67,YouTube,@j.d.445,https://www.youtube.com/watch?v=4R19-gsUoio,Dogs are not idiots (in the title). The one claiming it is the idiot,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",dogs idiots title one claiming idiot,6
68,YouTube,@xsourdeez413,https://www.youtube.com/watch?v=4R19-gsUoio,When he opened the crate at the end 😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",opened crate end,5
69,YouTube,@THEGOOBERSHOW-x4b,https://www.youtube.com/watch?v=4R19-gsUoio,I forget how dumb dogs can be 😂,,,,"Video: Dogs being idiot part 86| Funny dogs compilation #funnydog #funnypet #cutedog #dog, Channel: Funny Cute",forget dumb dogs,6
