Post Number,Platform,Username,Content URL,Text,Creation Date,Likes,Comments,Additional Info,cleaned_text,sentiment_score,sentiment_category
52,YouTube,@AgenorSilvaCosta-h2g,https://www.youtube.com/watch?v=qVhAzSwJF-U,❤❤❤❤❤😂😂😂😂❤❤❤❤❤❤,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
53,YouTube,@Footballerirsan569,https://www.youtube.com/watch?v=qVhAzSwJF-U,"<a href=""https://www.youtube.com/watch?v=qVhAzSwJF-U&amp;t=213"">3:33</a>",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",href,0.0,Neutral
54,YouTube,@planetbenji1493,https://www.youtube.com/watch?v=qVhAzSwJF-U,"<a href=""https://www.youtube.com/watch?v=qVhAzSwJF-U&amp;t=411"">6:51</a>-<a href=""https://www.youtube.com/watch?v=qVhAzSwJF-U&amp;t=420"">7:00</a>---cutest giggle!!!",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",href href giggle,0.4215,Positive
55,YouTube,@planetbenji1493,https://www.youtube.com/watch?v=qVhAzSwJF-U,"<a href=""https://www.youtube.com/watch?v=qVhAzSwJF-U&amp;t=318"">5:18</a>----very cute!!",,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",href cute,0.4588,Positive
56,YouTube,@planetbenji1493,https://www.youtube.com/watch?v=qVhAzSwJF-U,The baby laughing at the guy crunching snacks... maximum adorable!!,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",baby laughing guy crunching snacks maximum adorable,0.7506,Positive
57,YouTube,@SakibAhmed-i4b,https://www.youtube.com/watch?v=qVhAzSwJF-U,😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",,0.0,Neutral
58,YouTube,@AmeerHamza-ve6lb,https://www.youtube.com/watch?v=qVhAzSwJF-U,This baby so funny and guys 😂😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",baby funny guys,0.4404,Positive
59,YouTube,@aishayann5868,https://www.youtube.com/watch?v=qVhAzSwJF-U,Hola Que Risa 😂😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",hola que risa,0.0,Neutral
60,YouTube,@عباس.احمد17-حسن,https://www.youtube.com/watch?v=qVhAzSwJF-U,i love beby is cute,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",love beby cute,0.802,Positive
61,YouTube,@raghugnair,https://www.youtube.com/watch?v=qVhAzSwJF-U,This sounds like my brother in his poo day😂😂😂,,,,"Video: Cute And Funny Baby Laughing Hysterically Compilation || 5-Minute Fails, Channel: 5-minute Fails",sounds like brother poo day,0.3612,Positive
