30,ibrahim Haskoloğlu,@KeeleyFox29 @PhillyPolice Would you send me DM please? Turkish Press,Fri Oct 04 21:54:29 +0000 2024,0,6
Tweet Count,Username,Text,Created At,Retweets,Likes
31,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran Devlet Televizyonu: 

Rahman ve Rahim olan Allah'ın adıyla. Bu sadece ilk dalga. https://t.co/9CkwmKuXRu",Tue Oct 01 17:16:50 +0000 2024,119,2893
Tweet Count,Username,Text,Created At,Retweets,Likes
32,ibrahim Haskoloğlu,"İran, Hizbullah liderinin öldürülmesiyle İsrail'in kırmızı çizgiyi geçtiğini ve İsrail'i pişman edeceğini açıkladı. 

İsrail, İran’ın kırmızı çizgisini daha önce onlarca kez geçmişti. https://t.co/qQc7m1z4ar",Sat Sep 28 10:47:03 +0000 2024,1139,24546
Tweet Count,Username,Text,Created At,Retweets,Likes
33,ibrahim Haskoloğlu,"Serhat Akın, bu akşam yaptığı yayın sonrasında silahlı saldırıya uğradı. https://t.co/ymPcdCDgft",Thu Sep 26 21:20:20 +0000 2024,473,8278
Tweet Count,Username,Text,Created At,Retweets,Likes
34,ibrahim Haskoloğlu,"İsrail ile savaşa giren Lübnan'ın vatandaşları, Türkiye'ye gidiyor. 

Lübnanlı bir gazeteci Diab, “Stresle yaşamak istemiyoruz, bu yüzden İstanbul'a gelip, kalmayı ve neler olacağını izlemeyi tercih ediyorum."" (Reuters) https://t.co/7IzE6FtQMy",Tue Oct 01 10:35:16 +0000 2024,691,5820
Tweet Count,Username,Text,Created At,Retweets,Likes
35,ibrahim Haskoloğlu,"Akbank mağdurları konusunu bir süredir takip ediyorum.

Kişisel Verilerin çalınması konusu ve dolandırıcılık yöntemlerini yakından takip ettiğim için konuyla ilgili yetkililerle görüşmeden haber yapmadım.

Maalesef Kişisel Verilerinizin çalınması sonrasında birçok bankada bu tür https://t.co/56eS3LM2YY",Mon Sep 30 09:15:03 +0000 2024,499,4298
Tweet Count,Username,Text,Created At,Retweets,Likes
36,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran'ın balistik füzeleri, İsrail'e yağmur gibi iniyor. https://t.co/M4zrkD97Bl",Tue Oct 01 17:12:05 +0000 2024,172,3863
Tweet Count,Username,Text,Created At,Retweets,Likes
37,ibrahim Haskoloğlu,Serbest bırakılan 2 sapığın eşkalleri. Hukuk yok bari biz ifşa edelim. https://t.co/BJsbT4CBPa,Fri Oct 04 10:27:33 +0000 2024,2921,18880
Tweet Count,Username,Text,Created At,Retweets,Likes
38,ibrahim Haskoloğlu,"@eczozgurozel Ülkenin anası ağlıyor, sen belediye geziyorsun. Yazık bile değil sana.",Fri Oct 04 17:01:01 +0000 2024,121,3874
Tweet Count,Username,Text,Created At,Retweets,Likes
39,ibrahim Haskoloğlu,"Olayla ilgili yapılan ilk incelemede Semih Çelik isimli şahıs, takıntılı olduğu ve 1 SENEDİR RAHATSIZ ettiği İkbal U. isimli kadını öldürdüğü ortaya çıktı.

İstanbul Valiliği, Semih isimli şahsın 2 kadını birden öldürdüğünü açıkladı.",Fri Oct 04 15:10:27 +0000 2024,708,7944
Tweet Count,Username,Text,Created At,Retweets,Likes
40,ibrahim Haskoloğlu,"Hizbullah'ın komuta kademesinden Nasrallah için bir açıklama bekleniyordu.

İsrail'in Hizbullah'ın tüm komuta kademesini hava harekatı ile öldürdüğü ortaya çıktı. https://t.co/kmQAUfjHHT",Sat Sep 28 08:52:02 +0000 2024,445,7179
Tweet Count,Username,Text,Created At,Retweets,Likes
41,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran’ın Balistik füzelerinin bazılarına İsrail Hava Sistemleri yetersiz kaldı. 

İran balistik füzeleri, İsrail’i vuruyor. 

 https://t.co/M3gtUlC41J",Tue Oct 01 16:53:31 +0000 2024,107,3476
Tweet Count,Username,Text,Created At,Retweets,Likes
42,ibrahim Haskoloğlu,"ABD Yargısı, New York Belediye Başkanı Eric Adams hakkında 57 sayfalık iddianame hazırladı. Hazırlanan İddianamede: 

Adams'ın, Türk iş insanlarından ve Türk devlet yetkililerinden (rüşvet olarak değerlendirilen) hediye ve büyük bağışlar aldığı,

Bunun karşılığında New York'ta https://t.co/CgiHfbC5ZH",Thu Sep 26 17:28:42 +0000 2024,3091,17503
Tweet Count,Username,Text,Created At,Retweets,Likes
43,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran, İsrail’e hava sahasını açacak veya dolaylı olarak destek vercek bölge ülkelerinin askeri üslerini direkt olarak vuracağını açıkladı.",Tue Oct 01 21:08:31 +0000 2024,181,3541
Tweet Count,Username,Text,Created At,Retweets,Likes
44,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran’ın Balistik füzeleri, İsrail’deki kritik bölgeleri vurduğu belirtiliyor.  

İsrail çok hızlı şekilde cevap vereceğini açıkladı. https://t.co/hyYIKgDsDF",Tue Oct 01 17:05:26 +0000 2024,96,1693
Tweet Count,Username,Text,Created At,Retweets,Likes
45,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran’ın İsrail’e fırlattığı 100’den fazla balistik füze İsrail’e ulaştı. 

Bazı füzeler İsrail’e düştü. Birçok bölgeden patlama sesleri geliyor. https://t.co/493mJ4ZfFN",Tue Oct 01 16:49:41 +0000 2024,162,2879
Tweet Count,Username,Text,Created At,Retweets,Likes
46,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İsrail, Hizbullah Lideri Hasan Nasrallah’ı öldürdüğünü açıkladı. 

Hasan Nasrallah, İsrail’i yok etmekle tehdit ediyordu. https://t.co/AyWUyAVDAV",Sat Sep 28 08:02:16 +0000 2024,289,5199
Tweet Count,Username,Text,Created At,Retweets,Likes
47,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İran, Nasrallah'ı öldüren savaş uçaklarının kalktığı askeri havaalanlarını hedef alıp, vurduğunu açıkladı.

""İsrail'in en büyük havaalanı artık yok.""",Tue Oct 01 17:45:45 +0000 2024,303,5493
Tweet Count,Username,Text,Created At,Retweets,Likes
48,ibrahim Haskoloğlu,@AkbankDestek @Zelihamrc8 Akbank mağdurlarıyla ilgili DM'den sorduğum sorulara cevap vermenizi bekliyorum. Kolay gelsin,Sat Sep 28 09:17:38 +0000 2024,1,16
Tweet Count,Username,Text,Created At,Retweets,Likes
49,ibrahim Haskoloğlu,"İran'ın İsrail'e fırlattığı 200'den fazla balistik füze nedeniyle 1 Filistinli hayatını kaybetti.

Şu ana kadar açıklanan başka can kaybı yok.",Tue Oct 01 18:26:11 +0000 2024,150,3311
Tweet Count,Username,Text,Created At,Retweets,Likes
50,ibrahim Haskoloğlu,"Futbol yorumcusu Serhat Akın’a yapılan saldırıyla ilgili konuştuğum kaynaklar saldırının:

Motosiklete binen 2 maskeli kişi tarafından 3 el ateşle gerçekleştirildiğini söyledi. Detaylar ilerleyen saatlerde netleşir. 

Serhat Akın’ın durumu iyi. 

Türkiye’de Motosiklet saldırıları https://t.co/fO7HlkJdCf",Thu Sep 26 22:04:15 +0000 2024,224,3328
Tweet Count,Username,Text,Created At,Retweets,Likes
51,ibrahim Haskoloğlu,"Bu konuları video olarak anlatacağım. İnstagram üzerinden takip edip, paylaşmanız benim için çok değerli. 

https://t.co/ZtgJgWDPUJ",Wed Oct 02 14:54:34 +0000 2024,24,399
Tweet Count,Username,Text,Created At,Retweets,Likes
52,ibrahim Haskoloğlu,"@carlquintanilla Hello Carl, would you send me DM please? Turkish Press",Thu Oct 03 19:52:44 +0000 2024,0,5
Tweet Count,Username,Text,Created At,Retweets,Likes
53,ibrahim Haskoloğlu,"İzmir'de 3 saat arayla 2 kızı taciz eden şahsı, mesleği karaladığı için meslektaşları karakol önünde dövdü. 

 https://t.co/KLtIEmY3LY",Tue Sep 17 08:03:06 +0000 2024,1539,33527
Tweet Count,Username,Text,Created At,Retweets,Likes
54,ibrahim Haskoloğlu,"Polisin silahını belinden alıp, polisi şehit eden 19 yaşındaki Emre Geçti isimli şahsın 26 ayrı suç kaydı olduğu ortaya çıktı.

Bazı suç kayıtları:

8 kezUyuşturucu Kullanmak,
2 kez Kasten insan yaralama, 
1 kez Cinsel Taciz,
2 kez Yağma,
1 kez Gasp,
2 kez Çocuğa Cinsel İstismar, https://t.co/SvkdWsu38Y",Mon Sep 23 06:28:50 +0000 2024,2683,14458
Tweet Count,Username,Text,Created At,Retweets,Likes
55,ibrahim Haskoloğlu,"Melih Gökçek’in kanalı Beyaz TV’nin muhabiri, Jose Mourinho’ya translate ile soru sormaya çalıştı. 

Mourinho ise muhabire, ‘Sen gazeteci olduğuna emin misin?’ Cevabı verdi ve yoluna devam etti. 

Muhabir Beyaz TV’nin adını da çevirdi. ‘White Channel’

https://t.co/AP3b2OmOb6",Sat Sep 21 20:31:46 +0000 2024,2811,35834
Tweet Count,Username,Text,Created At,Retweets,Likes
56,ibrahim Haskoloğlu,"CHP'nin Nizip Belediye Başkanı Ali Doğan, ziraat mühendisi kadının cebindeki elini çıkarttırdı:

""Elini çıkart""

Ali Doğan'ın paylaşılan bilgilerinde Üniversite eğitim bilgisi bulunmuyor. https://t.co/x8P6IVAZ4W",Thu Sep 19 10:26:04 +0000 2024,2354,17529
Tweet Count,Username,Text,Created At,Retweets,Likes
57,ibrahim Haskoloğlu,"Türkiye'de telekominikasyon şirketlerinin yaptığı hileleri biliyor muydunuz?

• Kalitesiz interneti, ederinden 3 kat pahayalıya satıyor.
• Süresi biten müşterilerinden 2 kat yüksek fiyat istiyor.
• Sundukları internet de yurtdışındakine göre çok daha hızlı bitiyor.
• Aylar https://t.co/vnuUcxMX9o",Tue Sep 17 14:26:11 +0000 2024,12462,55317
Tweet Count,Username,Text,Created At,Retweets,Likes
58,ibrahim Haskoloğlu,"Antalya'da bir şahıs araç içinden diğer sürücülere silah çekerek yoluna devam etti.

Türkiye'nin çürümüş adalet sisteminin sonucu bunlar. Yıllardır söyledik çürümüşlüğü herkes her gün yaşar, görür oldu.

Bu şahıslar hiçbir karşılığı olmayacağını bildiği için bunları yapabiliyor. https://t.co/rknJ4bYJzK",Mon Sep 23 09:03:00 +0000 2024,8171,38521
Tweet Count,Username,Text,Created At,Retweets,Likes
59,ibrahim Haskoloğlu,"🔴#SONDAKİKA | İstanbul, Ümraniye'de polisin silahını alıp, sıkan şahıs yakalandı.

Bir kadın polis başından yaralandı, durumu ağır. https://t.co/6EeaZ4aPue",Sun Sep 22 22:34:40 +0000 2024,902,12033
Tweet Count,Username,Text,Created At,Retweets,Likes
60,ibrahim Haskoloğlu,"CHP Lideri Özgür Özel, 'Mustafa Kemal'in Askeriyiz' diyen bir kişiyi 'kenara götürün' diyip alandan uzaklaştırdı. 

Şu hareketi başka bir lider yapsa kendisine özgür diyen medya kanalları her yerde paylaşırdı. 

Muhalefetteyken böyleyseniz, iktidar olursanız kim bilir neler https://t.co/HlByiu3lp6",Fri Sep 20 15:51:13 +0000 2024,1790,14182
Tweet Count,Username,Text,Created At,Retweets,Likes
61,ibrahim Haskoloğlu,"Yunanistan'a ait sahil güvenlik güçleri, Muğla'nın sahiline Türklere ait bir botu kovaladı. 

Sahile kadar kovalaması sonrası kendi karasularına çekildiler.

Türk karasularını ihlal eden Yunan botu gittikten sonra Türk sahil güvenliği bölgeye geldi. (Bodrum Kent TV) https://t.co/j1vDIFkkKw",Fri Sep 20 10:56:23 +0000 2024,1813,11163
Tweet Count,Username,Text,Created At,Retweets,Likes
62,ibrahim Haskoloğlu,"Milli Eğitim Bakanı, Milyonlarca velinin
şikayet ettiği hijyen sorununu konuşmak yerine basketbol sorusu istedi

Muhabir:Okullarda hijyen sorunu var

Bakan:Bugün gündemimiz basketbol

Muhabir:Okullarla ilgili sıkıntı var

Bakan:Gündemimiz Basketbol lisesi
https://t.co/6uOEGcqlnm",Fri Sep 20 11:34:43 +0000 2024,4007,21552
Tweet Count,Username,Text,Created At,Retweets,Likes
63,ibrahim Haskoloğlu,"Amasya'da kendi halinde kaldırımda yürüyen 15 yaşındaki çocuk, bir şöförün kaldırıma dalması sonrası hayatını kaybetti.  

Türkiye’de şansa yaşıyoruz. 

 https://t.co/egAvHhsSvD",Wed Sep 25 15:45:05 +0000 2024,1776,12221
Tweet Count,Username,Text,Created At,Retweets,Likes
64,ibrahim Haskoloğlu,"10 Milyonlarca abonesinden gelir elde eden Türk Telekom’un

Kamuya ağır yük olan Kur Korumalı Mevduatı hesabına şirket dövizlerini koyup 2 senede Hazine’den 7 milyar TL kazanç sağladığı ortaya çıktı. (HT)

Bu telekomünikasyon şirketleri vatandaşa %200’e varan zamlar yapıyor. 

Şu https://t.co/sAXkGC3rzq",Thu Sep 19 12:22:38 +0000 2024,4445,23711
Tweet Count,Username,Text,Created At,Retweets,Likes
65,ibrahim Haskoloğlu,"Gaziantep'te bir annenin, sevgilisine kocasını öldürttüğü ortaya çıktı.

Kocasını öldürtmek için de kız çocuklarını kullanmışlar.

“Uyku ilacını babamın çayına katıp, teravihe gittim.

 Babamı elektrik kablosuyla boğup öldürmüş.”

https://t.co/95ISBpPE8R",Tue Sep 24 08:09:14 +0000 2024,472,5481
Tweet Count,Username,Text,Created At,Retweets,Likes
